0,tweet,pos_neg,prep,polarity,subjectivity,bayes_prediction
0,Just threw up my dinner.  Sick day. Is it weird that I'm really craving strawberry ice cream now?,neg,Just threw up my dinner.  Sick day. Is it weird that Im really craving strawberry ice cream now?,-0.33809523809523817,0.6857142857142858,pos
0,is so sunburnt i look like a lobster! ,neg,is so sunburnt i look like a lobster! ,0.0,0.0,pos
4,Home after going to another job interview. I am just that awesome. Watching some TV and relaxing ,pos,Home after going to another job interview. I am just that awesome. Watching some TV and relaxing ,1.0,1.0,pos
0,@MeganEdwards92  MATE I HAVE ONE but i cant eat it... bloody braces ,neg,  MATE I HAVE ONE but i cant eat it... bloody braces ,-0.8,0.9,neg
4,N now the end to another wise great nite! Excuse me while I dream a little dream ,pos,N now the end to another wise great nite! Excuse me while I dream a little dream ,0.365625,0.55,pos
0,Got blood drawn from both arms  ouchie,neg,Got blood drawn from both arms  ouchie,0.0,0.0,neg
4,"Wow..it's warm, what's going on? Are we in Chicago? OK..well, I'm going to enjoy this. No one say anything.. maybe it'll stay for a while ",pos,Wow..its warm whats going on? Are we in Chicago? OK..well Im going to enjoy this. No one say anything.. maybe itll stay for a while ,0.5,0.55,neg
4,"Morning all. Operation Fairy was a success last night, now I 'm going to take a mug of tea back to bed and watch CBBC ",pos,Morning all. Operation Fairy was a success last night now I m going to take a mug of tea back to bed and watch CBBC ,0.1,0.022222222222222227,pos
0,i need a phone sooo bad. ,neg,i need a phone sooo bad. ,-0.6999999999999998,0.6666666666666666,neg
0,@holliehixson sad I miss this!!! ,neg, sad I miss this!!! ,-0.9765625,1.0,neg
0,"wow, i really do have small feet ",neg,wow i really do have small feet ,0.01666666666666668,0.5333333333333333,pos
4,@jormahchrist EPIC FAIL! way to not @reply that to me. I WIN. ,pos, EPIC FAIL! way to not  that to me. I WIN. ,0.09166666666666667,0.3666666666666667,neg
